name, category, description, image, texture, formula, physical_structure, sustainability_score, main_attribute
'3d_printing_materials', '生物基材料', '可生物降解的3D打印材料，通常由PLA或其他生物聚合物制成', '3d_printing_materials.png', '光滑/层状', 'PLA(聚乳酸)70-100%，添加剂0-30%', '半结晶/无定形聚合物结构', 4, '可生物降解'
'bacterial_brick', '生物基材料', '利用细菌矿化作用生产的生物砖，减少传统烧制过程的碳排放', 'bacterial_brick.png', '粗糙/多孔', '沙粒基质80-90%，巴氏芽孢杆菌培养液10-20%', '微生物诱导碳酸钙沉淀形成的多孔结构', 5, '低碳生产'
'bio-based_asphalt', '生物基材料', '使用植物油或其他生物基原料替代石油沥青的道路材料', 'bio-based_asphalt.png', '粗糙', '植物油衍生物40-60%，矿物骨料40-60%', '连续相生物粘合剂包裹骨料的复合结构', 3, '可再生原料'
'biobased_coatings', '生物基材料', '以植物或生物基树脂为原料的环保涂料', 'biobased_coatings.png', '光滑', '大豆油树脂30-50%，植物蜡20-30%，天然颜料10-20%', '交联聚合物网络结构', 4, '低VOC排放'
'cactus_leather', '生物基材料', '由仙人掌纤维制成的植物基皮革替代品', 'cactus_leather.png', '纹理/柔软', '仙人掌纤维70-80%，天然胶乳20-30%', '三维纤维网状结构', 5, '动物友好'
'fruit_leather', '生物基材料', '利用水果副产品制作的皮革替代材料', 'fruit_leather.png', '柔软/有弹性', '水果废料纤维50-70%，植物基粘合剂30-50%', '层压纤维薄片结构', 4, '废物利用'
'hemp_concrete', '生物基材料', '大麻纤维与石灰混合的轻质建筑材料', 'hemp_concrete.png', '粗糙/多孔', '大麻屑60-70%，石灰粘合剂30-40%', '植物纤维与矿物基质的复合材料', 4, '碳封存'
'hemp_fiberboard', '生物基材料', '大麻纤维制成的板材，用于家具和建筑', 'hemp_fiberboard.png', '纤维状', '大麻纤维80-90%，植物基树脂10-20%', '定向纤维层压结构', 4, '可再生'
'microalgae', '生物基材料', '利用微藻生物质开发的各种材料应用', 'microalgae.png', '多样', '微藻生物质100%', '微藻细胞聚集形成的多孔结构', 5, '碳捕获'
'modern_rammed_earth', '生物基材料', '现代夯土技术，使用本地土壤和天然添加剂', 'modern_rammed_earth.png', '土质/纹理', '本地土壤90-95%，稳定剂5-10%', '密实层状矿物结构', 5, '零运输排放'
